category,name,address_line_1,address_line_2,address_line_3,address_line_4,address_line_5,hod_designation,hod_name,hod_contact,cp_designation,cp_name,cp_contact,gi_telephone,gi_fax,gi_email,gi_website,misc_info,services - services
Ministries,Ministry of Industry & Commerce,P.O. Box .570No. 73/1,Galle RoadColombo-03,,,,Secretary,Mr. T. M. K. B. Tennakoon,Tel : +94 11 2 436123/4, Director  ,Mr. W.T.H.R. Withana , +94 11 2 433725, +94 11 2 392149 / +94 11 2 392150 / +94 11 2 392154, +94 11 2 449402, secretary@industry.gov.lk,http://www.industry.gov.lk,Location Map,Obtain information regarding Tariff matters : Obtain recommendations to automobile assembling industries for excise duty exemption. : Obtain Inward processing scheme for TIEP : Issuing recommendation to obtain residence visas : Obtain recommendation to import of multi-layered packing materials for liquid milk & fruit juices un : Obtain Industry Registration Information : Obtain information regarding to import & export facilities and encouraging the Apparel Exporters in : Obtain recommendation to get Residence Visas for apperal industry : Obtain Provision of Special Tax Concession : Allocation of Lands to Investors from Industrial Estates 
Ministries,Ministry of Home Affairs,Independence SquareColombo -07,,,,,Secretary,Mr. S.T. Kodikara,"Telephone :+94 11 2682900,+94 11 5999634,+94 11 5999633
Fax:+94 11 2 683 665",  , , , 0112682900, 0112683665, info@moha.gov.lk,http://http://www.moha.gov.lk,Location Map,
Ministries,Ministry of Higher Education & Cultural Affairs,No. 18,Ward Place,Colombo-07,,,Secretary,Mr. J. J. Rathnasiri,Tel : +94 11 2 696679 / +94 11 5115201, Director (IT) ,Mr. L. P. H. Waduge , +94 11 2687510, +94 11 2694486: 2697133: 2697721: 2691378, +94 11 2 697239: +94 11 2 671355, info@mohe.gov.lk: d-ict@mohe.gov.lk,http://www.mohe.gov.lk,Location Map,
Ministries,Ministry of Foreign Employment,Tower 5,12th Floor,Central Bank Building,No. 30,Janadhipathi Mawatha,Secretary,Mr. Wasantha Deshapriya,Tel :- +94 11 2 477982, Senior Assistant Secretary ,Mr.S.J.S.Chandraguptha , +94 11 2 477981, +94 11 2 477971, +94 11 2 477950, secyces@gmail.com: secy@fepwministry.net,http://www.foreignemploymin.gov.lk,Location Map,
Ministries,"Ministry of Health, Nutrition & Indigenous Medicine",Health & Nutrition DivisionNo. 385,Ven. Baddegama Wimalawansa Mawatha,"Colombo-10

Indigenous Medicine Division325",Dr. N.M. Perera Mawatha,Rajagiriya,Secretary,Mr. Janaka Sugathadasa,"Tel : +94 11 2 698511, 11 2 698517",  , , , (+94)112 694033: 2 675011: 2 675449: 2 693493: 2 675280: 2 669192, +94 11 2 692913 / +94 11 2 693869, dirhinfo@health.gov.lk ; postmaster@heallh.gov.lk,"http://www.health.gov.lk,%20www.indigenousmedimini.gov.lk",Location Map,
Ministries,Ministry of Fisheries and Water Resources,New SecretariatMaligawatteColombo-10,,,,,Secretary,Mrs. W. M. M. R. Adhikari,"
					",  , , , +94 11 2 446183 / 5, +94 11 2 446184, secfisherieslk@gmail.com: secretary@fisheries.gov.lk,http://www.fisheries.gov.lk,Location Map,
Ministries,Ministry of Education,"""Isurupaya""
Pelawatta",Battaramulla.,,,,Secretary,Mr.Sunil Hettiarachchi,Tel : +94 11 2 784811, Deputy Director ,Ms. M.A.Vasana Edirisuriya , +94 11 2 785821, +94 11 2 785141 - +94 11 2 785150 , +94 11 2 785162, secretary.education@moe.gov.lk; info@moe.gov.lk,http://www.moe.gov.lk,Location Map,Vision & Mission : Provincial & Zonal Office Informations
Ministries,Ministry of Foreign Affairs,Republic Building,,,,,Secretary,Mr. Prasad Kariyawasam,Tel :- +94 11 2 438263, Director General (Public Communications) ,Mr. Satya Rodrigo , +94 11 2439040, +94 112 325 372: +94 112 325373: +94 112 325 375, +94 112 446 091: +112 333 450: +94 112 430 220, cypher@mfa.gov.lk: sfa@mfa.gov.lk,http://www.mfa.gov.lk,Sir Baron Jayathilake Mawatha : Colombo 1 : Location Map,"Attestation of Documents : Repatriation of Sri Lankans Stranded Overseas : Repatriation of Human Remains of Sri Lankans  : Coordinate Payment of Compensation : Repatriation of Stranded Fishermen : Registration of Birth, Marriage and Death (Outside Sri Lanka) : Any other Complaints from Sri Lankans Abroad : Obtaining Police Clearance Certificates : Stolen or Lost Passport – Overseas"
Ministries,Ministry of Finance,The Secretariat,Colombo 01,,,,Secretary,Dr. R. H. S. Samarathunga,+94 11 2 484511, Director (Media & Public Relations) ,Mr. M G Jayatissa , +94 11 2 484530, +94 11 2 484500 / +94 11 2 484600 / +94 11 2 484700, +94 11 2 449823, info@mo.treasury.gov.lk,http://www.treasury.gov.lk,Location Map,
Ministries,Ministry of Disaster Management,Vidya Mawatha,Colombo 07.,,,,Secretary,Mr. S S Miyanawala,T :- +94-112-665389,  , , , +94-112-665170 / +94-112-665185, +94-112-665098, ,http://www.disastermin.gov.lk,,
Ministries,Ministry of Defence,"15/5
","Baladaksha Mawatha
",Colombo -03,,,Secretary,Mr. Karunasena Hettiarachchi,+94 11 2438879,  , , , +94 11 2 430860 to +94 11 2 430879, +94 11 2 446300, webinfo@defence.lk: secretary@defence.lk,http://www.defence.lk,,
Ministries,Ministry of Buddha Sasana,No. 135, Srimath Anagarika Dharmapala Mawatha,Colombo 07.,,,Secretary,Mr. Wasantha Ekanayake,Tel : +94 11 2 307905,  , , , +94 11 2 307674: +94 11 2 307694, +94 11 2 337555, ,http://,Location Map,
Ministries,Ministry of Agriculture,"""Govijana Mandiraya""80/5",Rajamalwatte LaneBattaramulla,,,,Secretary,Mr. B Wijayaratna,"T :- +94 11 2 868920,",  , , , +94 11 2 869553: +94 11 2 872093: +94 11 2 872097: +94 11 2 888902: +94 11 2 888908: +94 11 2 887421, +94-11-2868910, secagric@sltnet.lk; ituagrimin@gmail.com,http://www.agrimin.gov.lk,Location Map,
Departments,Department of Survey,,,,,,Surveyor General,Mr. P.M.P Udayakantha - sg@survey.gov.lk ,011-2368569, Deputy Serveyor General (IT) ,Mr. K.D. Parakum Shantha - dsgit@survey.gov.lk , 011-2368101, 0112369011-13 (General Numbers), 011-2369343, dsgit@survey.govt.lk ,http://www.survey.gov.lk,,Viewing of Cadastral Parcel Survey Data /Geo-Spatial Data Service/Investor's Guide for Reserves : How to Purchasing of Maps :  Sub division/Amalgamate of land which has issued a title certificate : Obtaining of geodetic coordinates and conversions of coordinates : Investigations of public complaints on surveys : Issue of Licensed Draughtsman Certificate : How to get a copy of a Survey Plan : Purchasing of  digital maps 
Departments,Department of Social Services,Department of Social Services 2nd Floor,Sethsiripaya Stage II,Battaramulla.,,,Director,Mr. Pradeep Yasaratne,"Tele : 0112187040
Fax : 0112186276
E-Mail : dirss@sltnet.lk / dirssdss@gmail.com&", Director ,Mr. Pradeep Yasaratne , 0112187050 , 0112187040, 0112186276, dirss@sltnet.lk,http://www.socialservices.gov.lk,,Vocational Training for Persons with Disabilities : Early Investigation & Rehabilitation of Disabled Children : Obtaining relief for Voluntary Social Service Organizations. : Public assistance and assistance for ailments : Organization of Training Programmes : Rehabilitation of Drug Addicts : Maintenance of the Trust Fund for Rehabilitation of visually handicapped persons
Departments,Department of Rubber Development,No. 55/75,Vauxhall Lane,Colombo 2.,,,Director General,Mr. R.B. Premadasa,011 2304812,  , , , 011 2395561 , 011 2304813, rubbdev@gmail.com,http://www.rubberdev.gov.lk,,Rubber Land Regisration : Issuing of permits to plant rubber  : Rubber Cess Registration
Departments,Department of Registration of Persons,"Department of Registration of Persons10th Floor""Suhurupaya""Sri Subhuthipura RoadBattaramulla.",,,,,Commissioner General,Mr.P. Viyani Gunathilake,Contact: +94-11-2862255, Assistant Commissioner (Operations) ,Mr. A.P.G. Roshan Amarasinghe , +94-11-5226100, +94-11-5226126, +94-11-2862290, info@drp.gov.lk,http://www.drp.gov.lk,Location Map,Obtaining a New Identity Card : Amending Information on Issued Identity Cards : Obtaining Duplicate Identity Card Copies : One Day Service
Departments,Department of Registrar of Companies,"""Samagam Medura""",No. 400,D R Wijewardena Mawatha,Colombo 10.,,Registrar General of Companies,Mr. .D.N.R. Siriwardena,0112689212, Registrar of Companies (Attending  Duty) ,Mrs. P.P.S.Harshanie , 011-2689215, +94-11-2689208 / +94-11-2689209, +94-11-2689211, registrar@drc.gov.lk,http://www.drc.gov.lk,,Incorporation of Companies : Foreign Company : Public Contract : Companies Auditors : Companies Secretaries :  සමිති
Departments,Department of Registrar General,No: 234 /A3,Denzil Kobbakaduwa Mw,Battaramulla,Sri Lanka.,,Registrar General,Mr. Neel De Alwis,+94-112889490, Senior Deputy Registrar General ,Mr. S.M.W.B. Sandiligama , +94-112889518/+94-112889495, +94-11-2889488 / +94-11-2889489, +94-11-2889491, info@rgd.gov.lk,http://www.rgd.gov.lk,Location Map,Registration of Births Occurred at Home : Registration of a Birth Occurred in a Rural Hospital : Registration of a Birth Occurred in a General Hospital : Registration of a Birth Occurred in a Private Hospital : Registration of a Birth Occurred in a Registered Estate : Registration of a Birth Occurred at a Foreign Country : Registration of a Past Birth : Alteration of Information in a Birth Register : Rectification of Errors in the Certificate of Birth : Issue of Probable Age Certificates : Adoption of a Child : Obtain a Certified Copy of the Certificate of Birth : Translate Certificate of Birth : Registration of Marriages (General) : Registration of Kandyan Marriages : Registration of Marriages by a Christian Minister : Correcting Errors in the Certificate of Marriage (General) : Correction of Errors in the Certificate of Marriage (Kandyan) : Obtain a Certified Copy of the Certificate of Marriage : Translate Certificate of Marriage : Divorce of a Marriage Registered Under General  Marriage Ordinance : Divorce of a Kandyan Marriage : Registration of a Death Occurred at Home : Registration of a Death Occurred in a Rural Hospital : Registration of a Death Occurred in a General Hospital : Registration of a Death Occurred in a Foreign Country : Registration of a Death Occurred in a Private Hospital : Registration of a death occurred in a registered estate : Registration of a Past Death : Alteration of Information in a Death Register : Obtain a Certified Copy of the Certificate of Death : Translate Certificate of Death  : Registration of Documents : Rectification of Registered Documents : Obtain a Certified Copy from Registered Documents in Land Registries : Registration of a Power of  Attorney : Cancellation of a Power of Attorney : Obtaining Notary license : Obtain Vital Statistical Information
Departments,Department of Prisons,No.150,Baseline RoadColombo 09,,,,Commissioner General of Prisons,Mr.Chandhrarathna Pallegama,"+94 11 2 691976, +94 11 2 673978", Director Planning ,Ms.R.H.J.Perera , +94 11 2699351, +94 11 4 6777177, +94 11 4 677180, prisons@sltnet.lk,http://www.prisons.gov.lk,Location Map,
Departments,Department of Probation and Child Care Services(central),No 150A,L.H.P Building,Nawala Road, Nugegoda,,Commissioner,Mrs. Yamuna Perera,011-2853549, Asistant Commissioner(Admin) ,Miss. Nirmalee Priyangani Kumarage , 011-2853582, +94-11-2853596/+94-11-2853549, +94-11-2852393, pcc@sltnet.lk,http://www.probation.gov.lk,," Taking measures to effect Amendments to existing Acts and Ordinance related to children : Programme of children's Clubs Children's Councils : Recommendation of beneficiaries qualifiies  for assistance children’s fund, after identifying them : Assisting the rehabilitation of street children and institutionalized  children : Programmes for Financial Assistance for Twins and Payment of medical Assistance : Co-ordinating between the  Provincial  Probation and Probation and Child Care Services : Conducting National Training Programmes  : Taking measures to promote the Rights of the child : Assisting investigating child abuse complaints : Programme for Schooling  of Non-School Going Children"
Departments,Department of Railways,Railway Headquarters,P.O. Box 355,Colombo.,,,General Manager of Railways,Mr. S.M Abeywickrama,, Assistant Director (ICT) ,Mr.K.J.A.G.P Jayawardhana , , +94 11 2 421281 , +94 11 2 446490, gmr@railway.gov.lk,http://www.railway.gov.lk,,Reservation of seats in Trains through Mobile Telephones : Reservation of Seats  in Trains : Reservation of Air-conditioned Train : Reservation of  Railway Holiday Resorts  : Reservation of Special Trains : Reservation of a Compartment of a Train : Reservation of Railway Retiring Rooms : Displaying Advertisements at Railway Premises : Photographing or Filming in Railway Premises  : Transporting Goods by Railway Wagons : Railway Premises for Business Purposes : Transporting Parcels by Train
Departments,Department of Posts,Postal Head Quarters,310,D. R. Wijewardana Mawatha,Colombo 01.,,Postmaster General,Mr. D.L.P.Rohana Abeyaratne,,  , , , +94 -112-32 5111, +94-112-44 0555, ,http://http://www.slpost.gov.lk,,"Money Order  : Ordinary Money Order : Dispatch of Telegraph Money Order : Obtain of a Fax Money Order : Re-validating of a Lapsed Money Order : Action to be Taken in case of Loss of a Money Order (Local) : Foreign Money Orders and British Postal Orders Service : Value Payable Post : Obtain of Postal Identity Card : Opening a Savings Account : Deposits to Savings Account : Withdrawals from the Savings Accounts : Opening of a Minors Savings Account / Opening of a HAPPY Children' Savings Account : Withdrawals from Minor's Account : Obtaining a Post Office Box Number : Obtaining a License for Using a Postal Stamp : Investigation into Loss of Ordinary Letters in the Post : Registration as a Newspaper in the Department of Posts : Obtaining the Business Reply Covers and Card Service : Bulk Postal Facilities Under the Bulk Post Numbers : Inquiries Relating to Registered Articles : Obtaining a Certified Copy of the Delivery Receipt of the Registered Article : Withdrawal of a Letter Already Posted : Dispatch of a Foreign Parcel : Dispatch of Local Telegrams : Sending Foreign Telegrams : Use of Tele Mail Service : Payment of Motor Vehicle Fines : Payment of Examination Fees : Broadcasting of Obituary Notice Over the Radio : Complaints on Foreign Posts : Dispatch of Letters, Printed Matter, Post Card, Small Packets and Express Letters  : Receipt of Letters, Small Packets and Express Letters Sent by Air Mail and Sea Mail : Handing Over of Letters and Other Postal Articles to be Sent Through Express Post : Instant Receipt of EMS Goods Sent From Foreign Countries for Delivery in Sri Lanka : Books or Magazines Imported is Bulk From Other Countries : Business Postal Facilities"
Departments,Department of Police,Police Head Quarters,  Colombo 01,,,,Inspector General of Police,Mr Pujith Jayasundara,+94-11-2421111, Director (PPR) , , +94-11-2421111, +94-11-2421111 / +94-11-2327711-2-3, +94-11-234553, telligp@police.lk ,http://www.police.lk,Location Map,Animal Ordinance act : An organization in Sri Lanka Requesting a Clearance Certificate of a Potential Employee : Requesting Clearance Certificate Sri Lankan Living in Sri Lanka to Seek Employment Abroad : Obtain Clearance Certificate by Sri Lankan Living Abroad Seek Employment in the Country : Complain About Any Rape Cases or Child Abuse : Complain Regarding a Child Used as Servant or Laborer : Complain Relating to Missing Driving Licenses : Complain Relating to Missing NIC and Electronic Equipments. : Complain Relating to Missing Passports. : Complaints Directed to the Crime Branch : Examining Motor Accidents : Extracts of Complaints for Minor Disputes : Obtaining Assistance in Filling Insurance Forms : Obtaining Fine Receipts and Payments : Obtaining of Gun / Air Gun/ Explosive Permits for the First Time : Requesting for Renewal of Gun Permit on a yearly basis : Obtaining of Loud Speaker Permits : Obtaining of Procession Permits
Departments,Department of National Zoological Gardens,Anagarika Dharmapala Mawatha,Dehiwala.Colombo.,,,,Director ,Mr.Duminda Jayarathna,,  ,Mr.Duminda Jayarathna , , 0094–11–2712752 / 0094–11–2712753, 0094 – 11 –2734542, zoosl@slt.lk,http://www.colombozoo.gov.lk,,Aquarium of National Zoological Gardens : Animal Hospital of the National Zoological Gardens : Nutrition Section of National Zoological Gardens : Museum of the National Zoological Gardens : Visitor Information : Reach to Pinnawala Elephant Orphanage
Departments,Department of Pensions,Maligawatta,Colombo 10.,,,,Director General of pensions,Mr. A.Jagath D.Dias,+94-11-2431647,  , , , Hotline	---1970      /  +94-11-2209800 / +94-11-5927106 / +94-11-2209858,  +94-11-2342078, info@pensions.gov.lk,http://www.pensions.gov.lk,Location Map,e-Services : Pension payment days during year 2018 : Pension Registration : Civil Pensions Scheme : Railway Warrants  : Widows’/Widowers’ & Orphans’ Pension Scheme : Public Service Provident Fund
Departments,Department of Official Languages,Contact Person,,,,,,,,  , , , 0094-112-888934, 0094-112-888928, comiaddin@sltnet.lk,http://www.languagesdept.gov.lk,,Official Languages Proficiencies Exam : Proficiencies Exam for Other Languages : Language Translation : Publications
Departments,Department of National Museums,P.O. Box 854, Sir Marcus Fernando Mawatha,Colombo 7,,,Director,Mrs. Sanuja Kasthuriarachchi,+94 112695366, Information Technology Assistant , , +94 11 2694767 , +94 11 2694767: +94 11 2695366, +94 11 2692092, nmdep@slt.lk,http://www.museum.gov.lk,Location Map,Museum Mobile Bus : Museum Visit : Photographs & video : School Projects : Museum Publications : Reservation of  Museum Auditorium : National Museum Library : Free guide lecture service : Museum Leaflets : Educational Programmes : Mobile Exhibitions
Departments,Department of National Archives,Contact Person,,,,,,,,  , , , , , ,http://,,
Departments,Department of Motor Traffic,No: 581-341,  Elvitigala Mavatha, Narahenpita, Colombo 05. .,,Commissioner General,Mr. A.H.K. Jagath Chandrasiri,+94-11-2698717, Investigation officer ,Mr. Upul Priyantha de Silva , 0729054839, +94-11-2698717, +94-11-2694338, e.dmts@sltnet.lk,http://www.dmt.gov.lk,Location Map,Documents required to be submitted for the first registration of a motor vehicle : Registration of  Motor cycles with cylinder capacity less than 50 ( Moped) : Documents required  for normal transfer of  the registered  ownership of  motor vehicle.   : Documents required  for same day transfer of registered ownership  of a Motor vehicle. : Chargers levied for registration of new vehicles : Charges for transfers of vehicles-One day service : Charges for vehicle transfers : Obtaining a New Driving License : Obtaining a Duplicate of a Driving License : Obtaining a Temporary Driving License : Renewing of Driving License : Extending Validity of Driving License : Obtaining a Certification for Driving License : Obtaining a Driving License Card in Replacement of an Old License Booklet : Obtaining a New Driving License with Amended Names / Addresses / Classes : Registering a New Motor Vehicle : Registration of Transfer of Motor Vehicle
Departments,Department of National Botanic Gardens,Department of National Botanic Gardens,P O Box 14, Peradeniya,Sri Lanka, 20400,Director General,Dr. D.S.A. Wijesundara,,  ,"Dr. D.S.A. Wijesundara, Director General ", , Director General +94-81-2388238: General +94812388654, +94-81-2388238,  dirnbg@sltnet.lk,http://http://botanicgardens.gov.lk/,,Plant Identification and Information Service : Purchasing plants and planting materials  : National Floriculture Development Program “SUWAHAS MAL” : education and training programmes : Visit to Peradeniya Botanic Gardens  : Tree care and maintenance : Visit to Hakgala Botanic Gardens : visit to Gampaha Botanic Gardens : Ganewatte Medicinal Plant Garden : Development of New Botanic Gardens
Departments,Department of Meteorology,383, Bauddhaloka Mawatha,Colombo 07,Sri Lanka.,,Director General,Lalith Chandrapala,+94-11-2694104, Duty Meteorologist ,Duty Meteorologist , , +94-11-2694846: +94-11-2694847: +94-11-2681647, +94-11-2698311, meteo1@sltnet.lk,http://www.meteo.gov.lk,,Short Term Training Programmes Relevant to Meteorological Field and Resources : Weather Information and Forecasts (Daily/ Short Time) : Handling the Weather and Climate Scientific Studies and Projects : Astronomical Data/ Tides and Other data/ Meteorological Publications : Installation of and Graduation of Meteorological Equipment : Obtaining Meteorological Data : Obtaining Detailed Meteorological Reports for Insurance Claims : Educational Visits and Awareness Programmes for School Children. : Contribution for the Meteorological Exhibitions
Departments,"Department of Measurement Units, Standards and Services ",No: 101,Park Road,Colombo-05,Sri Lanka.,,Acting Director,Mr. K. Premasiri Kumara,+94-11-2583261,  ,Acting Director , , +94-11-2588914, +94-11-2597756, dir@measurementsdept.gov.lk,http://www.measurementsdept.gov.lk,Location Map,"Obtain Pattern Approval for weights, Measures, Measuring instruments : Registration of Manufacturers of weights, Measures and weighing or Measuring Instruments : Registration of Sellers of weights, Measures and weighing or Measuring Instruments : Renewal of Licenses - Repairers, Manufacturers and Sellers : Verifications of weights, Measures and weighing or Measuring Instruments : Calibration of weights, measures and weighing or measuring Instruments : Complaints on violation of the Act : Inform about prepackaging items : Registration of Repair Persons / Agency of weights, Measures and weighing or Measuring Instruments"
Departments,Department of Manpower and Employment,9th FloorSethsiripaya 2nd StageBattaramulla,,,,,Director Genaral ,Mr. K.D.N. Ranjith Asoka,"0112186022
0113094117", Human Resource Development Assistant ,Mr. S.W.G.M. Karunarathna , 0719677216, 0112187131, 0112187131, lmiunit@lmi.lk,http://www.lmi.lk,,Private sector Job Placement Programme : Entrepreneurship Development Training Programme : Mobile Phone Repairing Training Programme : Career guidance programme for A/L students : Programme for O/L students : National Employment Service Center : Job hunting techniques programme : Need Based Entrepreneurship Training Programme : Winning career challenges : “You are Miraculous” Programme for graduates.  : Awareness programme for Teachers on Career Guidance : Career Fair programme : Hasara Centre  : Motivation Programmes for Freelance Jobs : Shilpiya Nipunatha & Job Title Record : Job Hunting Programme : Job Club Training Programme : Data base on Career Guidance :  LMI Bulletin : Annual Socio Economic Data hand book : Report on career outcomes of University graduates : Articles on latest labour market trend and issues : Information on labour demand and supply : News Bulletin : Information on productivity and other economic variables
Departments,Department of Land Commissioner General’s,Mihikatha MeduraNo:1200/6,Rajamalwatththa Road,Battaramulla.,,,Land Commissioner General,Mr.R.P.R.Rajapaksha,, Deputy Land Commissioner ,Mr. Asantha Gunasekara , 0112 - 797410, +94-11-2797400, 0112 - 864051, info@landcom.gov.lk,http://www.landcom.gov.lk,,"Obtain of Long Term Lease Bonds For the purposes of Residential/Cultivation/Commercial : Obtain of Long Term Lease Bonds for Special Projects : Obtain of Long Term Lease Bonds for Residential Purpose : Releasing of Lands to Government Departments : Obtain of Grants to Buddhist Temples which are Presently Developed : Obtain of State Lands for Various Endeavor on Short Terms Leases : Obtain of Ranbima Grant : Obtain of Instruments of Disposition : Permitting Mortgaging, Transferring Instruments of Disposition : Obtain of Instruments of Disposition : Obtain of Grants Without Conditions to the people Who had been Issued with Grants with Conditions : Obtain of Grants for the Permits Issued to the Middle Class"
Departments,Department of Labour,Labour Secretariat, Narahenpita,Colombo 05.,,,Commissioner General of Labour,Mr. RPA Wimalaweera,(+94)11 2581998, Additional Commissioner General of Labour ,Mr. CN Withanachchi , (+94)11 2581970, (+94)11 2581142 / 3: (+94)11 2581146, (+94)11 2581145, commgen@labourdept.gov.lk,http://www.labourdept.gov.lk,Location Map,Payment of Employees’ Provident Fund Benefits upon Completion of Age : Payment of Employees’ Provident Fund Benefits for Female Employees on Marriage grounds : Payment of Employees’ Provident Fund Benefits on Medical grounds : Payment of Employees’ Provident Fund Benefits upon receiving a Permanent and Pensionable Appointment : Payment of Employees’ Provident Fund Benefits on Migration for Permanent Residence : Payment of Employees’ Provident Fund Benefits upon Restructuring of Government Corporations : Payment of Employees’ Provident Fund Benefits in the event of Death of the member : Registration and Re-registration of Employees : Payment of 30% Pre-benefits from Employees’ Provident Fund : Issuing Employees’ Provident Fund Guarantee Certificate for Housing Loan : Taking action an Industrial Disputes : Giving instructions on payment of Gratuity and taking action on complaints on Gratuity : Carrying out of Inspections on a complaint made by an employee on Termination of his employment : Registration of Factories : Notifying on Accidents : Registration of Trade Unions and Trade Union Federations : Update of registered Trade Unions : Dissolution of a registered Trade Union : Change of constitution of a registered Trade Union : Change of Address of an office of a registered Trade Union : Change of officers of a registered Trade Union
Departments,Department of Inland Revenue,Inland Revenue Building,Sir Chittampalam A Gardiner Mawatha,P.O. Box 515Colombo 02.,,,Commissioner General ,Mr. Ivan Dissanayake,+94 11 2 334400, Senior Commissioner ,Mr. S.S.D. Weerasekara , +94 11 2 135410, +94 11 2 135135, +94 11 2 337777, cgir@ird.gov.lk,http://www.ird.gov.lk,Location Map,Obtaining a Taxpayer Identification Number (TIN) : Obtaining a Temporary VAT Certificate : Alternation of Name or Address in the Already Issued TIN Certificate : Obtaining Tax clearance Certificate
Departments,Department of Immigration & Emigration,"""Suhurupaya""",Sri Subhuthipura Road,Battaramulla.Sri Lanka.,,,Controller General,Mr. M. N. Ranasinghe,+94-11-5329500, Assistant Controller ,Mr. K. A. T. K. Ruparathna , +94 11 5329310, +94-11-5329000, +94-11-2885358, controller@immigration.gov.lk,http://www.immigration.gov.lk,Location Map,"General Information on Passports : Issue of New Passports : Alteration of Travel Documents : Overseas Missions Passport Applications : Apply for Dual Citizenship : Births Registration of Sri Lankan Children Born Outside Sri Lanka : Issuing certificates confirming the citizenship of Indian Origin persons, on their request : General Information on visa : Obtaining Visit Visa : Obtaining Residence Visa : Obtaining Resident Guest Scheme Visa : Obtaining My Dream Home Visa : Diplomatic & Official Visits"
Departments,Department of Government Analyst's,Government Analyst's Department,No. 31, Isuru Mawatha, Pelawatta,Battaramulla.,Government Analyst,Mr.A.Welianga,+94 11 2786380, Government Analyst ,Mr.A.Welianga , +94 11 2786380, +94 11 2176800 / +94 11 2786395, +94 11 2786394, govanalyst@sltnet.lk,http://www.analyst.gov.lk,,Food Analysis : Analysis of Water : Examination of Questioned Documents : Vehicle Examination
Departments,Department of Imports & Exports Control,1st Floor, Hemas Building, No.75–1/3 , York Street, Colombo 1.,Controller,Mr. D.S.P. Senaratne,+94 11 2 324386, System Administrator ,Mr. Rangika Sadeesh ," 0112 - 327112, 0112 - 541001", +94-11-2326774, +94-11-2328486, imexport@sltnet.lk ,http://www.imexport.gov.lk,,"General Procedure : Part Shipment Licenses - Unit 1 : Block License - Unit 1 : Debit Goods Imported - Unit 1 : Amended Licenses for Importation of Drugs - Unit 1 : License to Import Free Trade Samples - Unit 1 : Import of Vehicles on Foreign Earnings - Unit 2 : Import of Vehicles Under Gift Scheme - Unit 2 : Importation of Vehicles Under the Gift Scheme for Organizations - Unit 2 : Helicopter, Air Craft and Spare Parts - Unit 2 : Importation of Body Shells - Unit 2 : Importation of Used Motor Cycles and Cars for Re-export After Repairing - Unit 2 : Importation of Chemicals (Chemicals, Animal Products and Herbal Products Import License) - Unit 3 : Obtaining Debiting License for Imported Chemicals Unit 3/4 : Amended Licenses Import of Chemicals Unit 3/4 : Obtain License for Imports of Miscellaneous Items Unit 4 : Obtain License for Exports of Miscellaneous Items - Unit 4/5 : Import License for the Explosives"
Departments,Department of Forest Conservation,SAMPATHPAYA,No.82, Rajamalwatta Road,Battaramulla.,,Conservator General of Forests,S. A. Anura Sathurusinghe,0112-866616, Conservator of Forests ,Mr. W.T.B.Dissanayake , 0112-866629, 0112-866631:0112-866632:0112-875540, 0112-2866633, ,http://www.forestdept.gov.lk,Location Map,"Registration of Timber Based Enterprises : Export of Timber, Timber products, Plants  : Issuing Permits for Timber Transport : Extension of Registration of Timber Base Enterprises : Issuing of Transport permit for Furniture  : Issuing Permits to Export Furniture : Sale of Plants  : Sale of Publications : Awareness Programmes  : Organizing Tree Planting Programmes  : Forest Nurseries : Forest Extension Programmes"
Departments,Department of Fisheries & Aquatic Resources,3rd Floor, New Secretariat, Maligawatta, Colombo 10.,,Director General,Mr. S.W. Pathirana,"+94 11 2 449170, +94 11 2 472187", Programme Manager ,Mr. A. Ariyasena Fernando , +94 11 2 424087 Ext:- 213, 0094-11-2446183 / 0094-11-2472187 / 0094-11-2449170, 0094-11-2449170, depfish@fisheries.gov.lk,http://www.fisheriesdept.gov.lk,,"First Registration of a Fishing Craft and Renewals : Registration Fishing Vessel Untimely Death of the Registered Owner : Duplicate Registration Certificates of Fishing Craft : Transferred vessel : Canceling the Registration Fishing Vessels : Obtaining Registration for a Vessel Re-engineered After Fitting an Outboard Motors : Fresh water operating Licenses : license for fishing in Sri Lankan territory waters : Obtain Approval to Establish a Fish Production Processing Establishments in Sri Lanka : Obtaining of Quality Certificates for the Export Fisheries Products  : licenses for foreign fishing vessels to unload the fish  : Registration ma-del owners, & madel padu"
Departments,Department of Export Agriculture,1095,Sirimavo Bandaranayake Mawatha,Peradeniya.,,,Director General,DR. A. P. Heenkende,081-2388364, Director Research ,A.P.P Disna , 081-2387411, +94-081-2388651, +94-081-2388738, direxag@sltnet.net,http://www.exportagridept.gov.lk,Location Map,Obtaining a Training Program on Cinnamon Peeling  : Obtaing a Farmer Training Program on EAC : Obtaining the Plant Protection Service of the Department : business counseling unit : Investment Assistance for New Planting/Replanting of  Export Agricultural Crops  : Assistance for Productivity Improvement of Low Productive Export Agricultural Crop Lands : Post Harvest Practices : Obtaing an In-Service Training on EAC : Development Assistance to Ginger and Turmeric : Obtaining Investment Assistance for a Private Processing Unit : Participation in Agriculure Exhibitions : Solving Farmer Problems of EAC : Training Programs on Value Addition of EAC : Obtaining a Training Program on Betel Farming
