_ - category - category,_ - name - name,_ - gi_fax,_ - cp_name,_ - gi_email,_ - cp_contact,_ - gi_website,_ - gi_telephone,_ - cp_designation,_ - address_line_4,_ - address_line_2,_ - address_line_3,_ - address_line_1,_ - hod_designation - hod_designation,_ - hod_name - hod_name,_ - hod_contact - hod_contact,_ - services - services
Departments,Department of Manpower and Employment,112187131,Mr. S.W.G.M. Karunarathna ,lmiunit@lmi.lk,[u' 0719677216'],['http://www.lmi.lk'],112187131, Human Resource Development Assistant ,,,,9th FloorSethsiripaya 2nd StageBattaramulla,Director Genaral ,Mr. K.D.N. Ranjith Asoka,"0112186022
0113094117",Private sector Job Placement Programme : Entrepreneurship Development Training Programme : Mobile Phone Repairing Training Programme : Career guidance programme for A/L students : Programme for O/L students : National Employment Service Center : Job hunting techniques programme : Need Based Entrepreneurship Training Programme : Winning career challenges : “You are Miraculous” Programme for graduates.  : Awareness programme for Teachers on Career Guidance : Career Fair programme : Hasara Centre  : Motivation Programmes for Freelance Jobs : Shilpiya Nipunatha & Job Title Record : Job Hunting Programme : Job Club Training Programme : Data base on Career Guidance :  LMI Bulletin : Annual Socio Economic Data hand book : Report on career outcomes of University graduates : Articles on latest labour market trend and issues : Information on labour demand and supply : News Bulletin : Information on productivity and other economic variables
Departments,Department of Labour,(+94)11 2581145,Mr. CN Withanachchi ,commgen@labourdept.gov.lk,[u' (+94)11 2581970'],['http://www.labourdept.gov.lk'],(+94)11 2581142 / 3: (+94)11 2581146, Additional Commissioner General of Labour ,, Narahenpita,Colombo 05.,Labour Secretariat,Commissioner General of Labour,Mr. RPA Wimalaweera,(+94)11 2581998,Payment of Employees’ Provident Fund Benefits upon Completion of Age : Payment of Employees’ Provident Fund Benefits for Female Employees on Marriage grounds : Payment of Employees’ Provident Fund Benefits on Medical grounds : Payment of Employees’ Provident Fund Benefits upon receiving a Permanent and Pensionable Appointment : Payment of Employees’ Provident Fund Benefits on Migration for Permanent Residence : Payment of Employees’ Provident Fund Benefits upon Restructuring of Government Corporations : Payment of Employees’ Provident Fund Benefits in the event of Death of the member : Registration and Re-registration of Employees : Payment of 30% Pre-benefits from Employees’ Provident Fund : Issuing Employees’ Provident Fund Guarantee Certificate for Housing Loan : Taking action an Industrial Disputes : Giving instructions on payment of Gratuity and taking action on complaints on Gratuity : Carrying out of Inspections on a complaint made by an employee on Termination of his employment : Registration of Factories : Notifying on Accidents : Registration of Trade Unions and Trade Union Federations : Update of registered Trade Unions : Dissolution of a registered Trade Union : Change of constitution of a registered Trade Union : Change of Address of an office of a registered Trade Union : Change of officers of a registered Trade Union
Departments,Department of Imports & Exports Control,+94-11-2328486,Mr. Rangika Sadeesh ,imexport@sltnet.lk ,"[u' 0112 - 327112, 0112 - 541001']",['http://www.imexport.gov.lk'],+94-11-2326774, System Administrator , York Street, Hemas Building, No.75–1/3 ,1st Floor,Controller,Mr. D.S.P. Senaratne,+94 11 2 324386,"General Procedure : Part Shipment Licenses - Unit 1 : Block License - Unit 1 : Debit Goods Imported - Unit 1 : Amended Licenses for Importation of Drugs - Unit 1 : License to Import Free Trade Samples - Unit 1 : Import of Vehicles on Foreign Earnings - Unit 2 : Import of Vehicles Under Gift Scheme - Unit 2 : Importation of Vehicles Under the Gift Scheme for Organizations - Unit 2 : Helicopter, Air Craft and Spare Parts - Unit 2 : Importation of Body Shells - Unit 2 : Importation of Used Motor Cycles and Cars for Re-export After Repairing - Unit 2 : Importation of Chemicals (Chemicals, Animal Products and Herbal Products Import License) - Unit 3 : Obtaining Debiting License for Imported Chemicals Unit 3/4 : Amended Licenses Import of Chemicals Unit 3/4 : Obtain License for Imports of Miscellaneous Items Unit 4 : Obtain License for Exports of Miscellaneous Items - Unit 4/5 : Import License for the Explosives"
Departments,Department of Immigration & Emigration,+94-11-2885358,Mr. K. A. T. K. Ruparathna ,controller@immigration.gov.lk,[u' +94 11 5329310'],['http://www.immigration.gov.lk'],+94-11-5329000, Assistant Controller ,,Sri Subhuthipura Road,Battaramulla.Sri Lanka.,"""Suhurupaya""",Controller General,Mr. M. N. Ranasinghe,+94-11-5329500,"General Information on Passports : Issue of New Passports : Alteration of Travel Documents : Overseas Missions Passport Applications : Apply for Dual Citizenship : Births Registration of Sri Lankan Children Born Outside Sri Lanka : Issuing certificates confirming the citizenship of Indian Origin persons, on their request : General Information on visa : Obtaining Visit Visa : Obtaining Residence Visa : Obtaining Resident Guest Scheme Visa : Obtaining My Dream Home Visa : Diplomatic & Official Visits"
Departments,Department of Fisheries & Aquatic Resources,0094-11-2449170,Mr. A. Ariyasena Fernando ,depfish@fisheries.gov.lk,[u' +94 11 2 424087 Ext:- 213'],['http://www.fisheriesdept.gov.lk'],0094-11-2446183 / 0094-11-2472187 / 0094-11-2449170, Programme Manager , Colombo 10., New Secretariat, Maligawatta,3rd Floor,Director General,Mr. S.W. Pathirana,"+94 11 2 449170, +94 11 2 472187","First Registration of a Fishing Craft and Renewals : Registration Fishing Vessel Untimely Death of the Registered Owner : Duplicate Registration Certificates of Fishing Craft : Transferred vessel : Canceling the Registration Fishing Vessels : Obtaining Registration for a Vessel Re-engineered After Fitting an Outboard Motors : Fresh water operating Licenses : license for fishing in Sri Lankan territory waters : Obtain Approval to Establish a Fish Production Processing Establishments in Sri Lanka : Obtaining of Quality Certificates for the Export Fisheries Products  : licenses for foreign fishing vessels to unload the fish  : Registration ma-del owners, & madel padu"
Departments,Department of Forest Conservation,0112-2866633,Mr. W.T.B.Dissanayake ,,[u' 0112-866629'],['http://www.forestdept.gov.lk'],0112-866631:0112-866632:0112-875540, Conservator of Forests ,Battaramulla.,No.82, Rajamalwatta Road,SAMPATHPAYA,Conservator General of Forests,S. A. Anura Sathurusinghe,0112-866616,"Registration of Timber Based Enterprises : Export of Timber, Timber products, Plants  : Issuing Permits for Timber Transport : Extension of Registration of Timber Base Enterprises : Issuing of Transport permit for Furniture  : Issuing Permits to Export Furniture : Sale of Plants  : Sale of Publications : Awareness Programmes  : Organizing Tree Planting Programmes  : Forest Nurseries : Forest Extension Programmes"
Departments,Department of Government Analyst's,+94 11 2786394,Mr.A.Welianga ,govanalyst@sltnet.lk,[u' +94 11 2786380'],['http://www.analyst.gov.lk'],+94 11 2176800 / +94 11 2786395, Government Analyst , Pelawatta,No. 31, Isuru Mawatha,Government Analyst's Department,Government Analyst,Mr.A.Welianga,+94 11 2786380,Food Analysis : Analysis of Water : Examination of Questioned Documents : Vehicle Examination
Departments,"Department of Examinations, Sri Lanka",+94-11-2785220,Mr. B.Sanath poojitha ,exams@doenets.lk,[u' +94-11-2786200'],['http://www.doenets.lk'],Hot line - 1911: +94-11-2786200:  +94-11-2784201:  +94-11-2785202: +94-11-2784203: +94-11-2784204: +94-11-2786205: +94-11-2786206: +94-11-2787207, Commissioner General of Examinations ,, Colombo.,,P.O. Box 1503,Commissioner General of Examinations,,011-2786200,e -Service for View Results : Official Website - DOE : Monthly Examinations Calendar : Tell Exams
Departments,Department of Excise,+94-11-2877890,Mr.L.A.D.Liyanaarachchi ,excisen@slt.lk,[u' +94(0)112 045020'],['http://www.excise.gov.lk'],+94-11-2300904 , Officer In Charge (IT Division) ,Sri Lanka., Kotte Road, Rajagiriya,Excise Department of Sri Lanka No. 353,Excise Commissioner General,Mrs. K.H.A. Meegasmulla,"+ 94-11-2300166 + 94-11-2326606
Fax �+94 11-2877890","Obtaining a transport license for liqueur : FL 04 Licenses (Super markets which exceeded annual turnover tax  Rs 72 million) : Transfer : GUIDELINES AND CONDITIONS APPLICABLE FOR THE ISSUE OF EXCISE LICENSES : Procedure in applying for FL 04 License : ර.බි. 04 බලපත‍්‍ර (වාර්ෂික පිරිවැටුම රුපියල් දශලක්ෂ 72 ඉක්මවන සුපිරි වෙළඳසැල්) ලබාගැනීම : ර.බි. 04 බලපත‍්‍ර ලබාගැනීම : Procedure in applying for FL 07 & 08 License : Procedure in applying for FL 11 License : Procedure in applying for FL 22  License : අමතර ර.බි. 22 ඒ - බියර්,ස්ටවුට් සහ වයින් සිල්ලරට විකිණිම සඳහා බලපත‍්‍ර ඉල්ලුම් කිරීම  : අමතර ර.බි. 22 ඒ - බියර්,ස්ටවුට් සහ වයින් සිල්ලරට විකිණිම සඳහා බලපත‍්‍ර ඉල්ලුම්  : FL 22 B license – In addition to above, for consumption   of Beer, Stout and Wine in the premises : Procedure in applying for FL 13 and 13 A License : කිතුල් ගස් මැද පැසුනු රා නිෂ්පාදනය කර විකිණිම සඳහා ලබා දෙන බලපත‍්‍රය ඉල්ලුම් කිරීම. : වයින් නිෂ්පාදනය කිරිම සඳහා සුරාබදු බලපත‍්‍රයක් ඉල්ලුම් කිරීම : නව ස්කාගාර/ගුදම්  බලපත‍්‍රයක් ඉල්ලුම් කිරීම : Requirements to obtain occasional license (FL 14) : Requirements for shifting a  license from the present premises  to another premises. : Requirements to be fulfilled when transferring a license to another person"
Departments,Department of Export Agriculture,+94-081-2388738,A.P.P Disna ,direxag@sltnet.net,[u' 081-2387411'],['http://www.exportagridept.gov.lk'],+94-081-2388651, Director Research ,,Sirimavo Bandaranayake Mawatha,Peradeniya.,1095,Director General,DR. A. P. Heenkende,081-2388364,Obtaining a Training Program on Cinnamon Peeling  : Obtaing a Farmer Training Program on EAC : Obtaining the Plant Protection Service of the Department : business counseling unit : Investment Assistance for New Planting/Replanting of  Export Agricultural Crops  : Assistance for Productivity Improvement of Low Productive Export Agricultural Crop Lands : Post Harvest Practices : Obtaing an In-Service Training on EAC : Development Assistance to Ginger and Turmeric : Obtaining Investment Assistance for a Private Processing Unit : Participation in Agriculure Exhibitions : Solving Farmer Problems of EAC : Training Programs on Value Addition of EAC : Obtaining a Training Program on Betel Farming
Departments,Department of Educational Publications,+94-112-784815,W.D.Pathmasiri ,commissioner_epd@yahoo.com,[u' +94 0113 084638'],['http://www.edupub.gov.lk'],+94-112-784815: +94-112-787509: +94-112-785477, Assistant Commissioner ,,Battaramulla,,Isurupaya,Commissioner General,Mr. Tissa Hewavithana,011-2784815,Services of Development Unit of Education Publications Department : Services of Distribution Unit of the Education Publications Department : Services of Production Unit of Education Publications Department : Services of Publishing Unit of Education Publications Department : Services of Planning Unit of Education Publications Department : Services of Information Technology Unit of Education Publications Department : Services of Investigation Unit of Education Publications Department : Services of Research Unit of Education Publications Department : Services of Establishment Unit of Education Publications Department : Services of Financial Unit of Education Publications Department : Warehouses of Education Publications Department : Sales Outlets of Books
Departments,Department of Divinaguma Development ,+94-11-2889002,Mr.M.A.Hiran Prasanna ,samurdhidg@gmail.com,[u' +94-11-2861213'],['http://-'],+94-11-2872202, System Analyst -SASL ,, Sethsiripaya,Battaramulla.,4th Floor,Director Genaral,Mr. R.P.Bandula Thilakasiri,+94-11-2871672,Samurdhi Lottery Draw : Social Development Programme : Rural Development Programme : Agricultural Development Programme
Departments,Department of Customs,+94-11-2446364, ,dgc@customs.gov.lk,[u' '],['http://www.customs.gov.lk'],+94-11-2470945 to  +94-11-2470948,  ,,Main Street, Colombo 11.,No 40,Director General,Mrs.P.S.M. Charles,+94 11 2 347881,Foreign Currency Declaration Limits : Exchange Rates For Customs Declarations : Concessions for Incoming Passengers : Facilities given to Passengers Going Abroad : Clearance of Un-accompanied Baggage(UPB) : Sending a Gift to a Friend or a Relative in Sri Lanka : Gifts received from a Foreign Country (Sea/air/EMS) : Sending Gift Parcels to a Foreign Country Through Mail : Bringing in or Taking Out Local Currencies : importation of cats and Dogs : Temporary Import and Export under ATA Carnet : Importing  Motor Vehicles : Exporting Gemstones : Importing Gemstones : Registration of Importers/Exporters(TIN/VAT) : Facilitation for Investors - TIEP 1 : Facilitation for Investors - TIEP 4 : Facilitation for Investors - Entrepot Trade : Issuance of Customs House Agent (CHA) Pass
Departments,Department of Buildings,011-2864771,Eng. Mrs. R. Maddewithana ,info@buildingsdept.gov.lk: buildept@sltnet.lk,[u' 011-2864549'],['http://www.buildings.gov.lk'],2862917-2862922: 2889456, Director (Technical Development) ,,"""Sethsiripaya""",Battaramulla,2nd Floor,Director General of Buildings,Eng. D.G.S. Jayakody,011-2862588,
Departments,Department of Commerce  ,+94 11 2 430233 +94 11 2 382490,Mr. L.G. Dissanayake ,fortrade@doc.gov.lk,[u' +94 11 2436114'],['http://www.doc.gov.lk'],+94 11 2 329733 +94 11 2 436114  +94 11 2 327191, Assistant Director ,Vaxuhall Street,Rakshana Mandiraya,21,4th Floor,Director General of Commerce,Mrs. Sonali Wijeratne,+94 11 2 430068,Trade Promotion : Trade Complaints (only for exports) : WTO Reference Centre : Issuance of  Certificates of Origin (COOs) : Issuance of Recomendations for Residance Visa(RV)
Departments,Department of Census and Statistics,+94 11 2147011,Mr. P.M.R. Fernando ,data.requests@statistics.gov.lk,[u' +94 11 2 147430'],['http://www.statistics.gov.lk'],+94 11 2147000, Deputy Director ,Battaramulla.,306/71,Polduwa Road,"""Sankyana Mandiraya""",Director General,Dr. A.J. Satharasinghe,+94 11 2147001,"Web Site : Library : Sales Counters : Obtaining Micro Data Files : Obtaining Schedules of Census and Surveys, Reports, Statistical Data"
Departments,Department of Cultural Affairs,+94-112-866732,Mr. S.P. Wickramanayaka ,dcanews@sltnet.lk,[u' +94-112-872034\t '],['http://www.cultural.gov.lk'],+94-112-872031 / +94-112-866731, Cultural Development Assistant ,,Sethsiripaya,Bataramulla.,8th Floor,Director of Cultural Affairs,Mr. W.M. Vijith Kanugala,+94-112-872035,Reservation  John de Silva Memorial Theatre Hall  : Reservation National Art Gallery : Saraswathie Pension Scheme : Monthly Assistance to Artiste : Registration for Kalayatana (Art Schools)  : Rupavahini State Awards Ceremony : Literary Contests : State Literary Contest  & Awards Ceremony : Assistance to Writers Project : Manuscript Competition : Book Stalls  : State Drama Contest & Festival : State-Short Drama Contest  & Festival : State Children's Drama Contest & Festival : State Dance Contest  & Festival : State Ballet  Contest  & Festival : State Children's  Contest &  Art Festival : Exhibition of Painters' Paintings : State Arts and Sculpture Contest &  Festival : State Music Ensemble : Songs Appreciation Programme : Legal Protection for Songs
Departments,Department of Attorney General’s,0094-11-2436421,Shashikalum Perera ,administration@attorneygeneral.gov.lk,[u' 0094-11-2381174'],['http://www.attorneygeneral.gov.lk'],0094-11-2320848 / 0094-11-2320854 / 0094-11-2327919 / 0094-11-2431603, State Counsel ,,,,Attorney General's DepartmentColombo 12.,Attorney General,"Mohan Peiris, President's Counsel",0094-11-2327166,Public Petitions : Criminal Prosecutions : Civil Matters
Departments,Department of Ayurweda,+94 11 2845537 ,Mr. K. M. C. Jayathissa ,ita@ayurveda.gov.lk ,"[u' +94 11 2896911, +94 11 2896912']",['http://www.ayurveda.gov.lk'],+94 11 2896911: +94 11 2896912  , Media Assistant ,,Nawinna,Maharagama.,Old Rd,Commissioner,Mr.Palitha Weerakoon,"+94 11 2847555, +94 11 2896909",Diploma Examination in Ayurveda (D.A.) : Application for Permission to Use the Title of Ayurveda : Mobile Medical Clinics : Establishment of a Medical Centre : Conduct of Ayruvedic Exhibitions : Provision of Books for Libraries : Provision of Herbal Drinks or Herbal Gruel : Start Herbal Gardens at School/Dhamma School : Visit to Haldummulla Herbal Garden  : Purchase of Herbal Plants : Visit to Other Herbal Gardens : To Become a Supplier : Ayruvedic Hospitals  : Ayurvedic Research Institute : National Institute of Indigenous Medicine
Departments,Department of Archaeology,+94 11 2 696514,Mrs. W.R. J. Vasana Pramachandraa ,info@archaeology.gov.lk,[u' +94 11 2 692840 / 41 Ext:- 401'],['http://www.archaeology.gov.lk'],+94 11 2 692840 / 41, Archaeological Reserch Assistant ,,Colombo 07.,,Sir Marcus Frenando Mawatha,Director General,Dr. Senarath Disanayake,+94 11 2 695255,"Enquiries on Counseling Service : Conducting Special and Urgent Explorations  : Publishing : Declaration of Protected Ancient Monuments : Prevention of Destruction of Antiquities  : Archaeological Impact Assessment Surveys : Marine Archaeological Explorations : Obtaining Geographical Information on Archaeological Site and Monuments : Identification of Ancient Irrigation Technology, Research and Assurance : Action on District Files And Files on Quarries : Conducting Research on, Presentation of and Public Awareness on Epigraphy and Coins Available in Sri : Discovery of Epigraphy and Coins  : Preservation of Inscriptions : Registration, Reporting, Conservation and Public Displaying of Historic Sculptural Remains  : Conveyance of Knowledge, Perception, Education and Entertainment to the Public : Maintenance of Archaeological Prohibited Lands and Maintenance of Protected Monuments : Launching of Classical Publications : Training : Holding Exhibitions : Articles for the Newspaper “Dayada” : Seminar : Use of the Archaeological Department Library : Buy Publications : Request for Exhibitions : Request for Holding a Mobile Archaeological Book Stall : Get Help from Law : Conducting Excavation : Preservation : About Opperation"
Departments,Department of Animal Production and Health,+94 81 2388619,Dr.K.D.Ariyapala ,,[u' +94 81 2388850'],['http://www.daph.gov.lk'],+94 81 2388195, Director (Livestock Planning and Economics) ,,PeradeniyaSri Lanka,,Department of Animal Production and HealthP.O.Box 13,Director General,Dr. N. Wedasinghe,+94 81 2388195,"01.Approval for Importation of Domestic and Wild Animals : 02.Approval for Importation of Ornamental Fish and Edible Fish for Aquaculture : 03.Approval for importation of meat and meat products : 04.Approval for importation of frozen fish and fish products : 05.Approval for importation of animal leather with fur : 06.Approval for importation of finished or semi processed leather : 07.Approval for importation of Deep frozen animal semen : 08.Approval for importation of day old chicks : 09.Approval for importation of feather and other poultry by products : 10.Registration of poultry breeder farms : 11.Registration of poultry abattoir and processing establishments : 12.Obtaining recommendations for importation of animal feed/materials  : 13.Providing license to manufacture / import animal feed/ingredients : 14.Registration of Veterinary pharmaceuticals  : 15.Approval for export of pet animals, ornamental fishes, meat and meat products, animal by products : 16.Registration of Livestock farms (excluding poultry farms)"
Ministries,State Ministry of Fisheries,+94 11 2 446184, ,secfisherieslk@gmail.com: secretary@fisheries.gov.lk,[u' '],['http://www.fisheries.gov.lk'],+94 11 2 446183 / 5,  ,,,,New SecretariatMaligawatteColombo-10,Secretary,To Be Appointed,"
					",
Ministries,State Ministry of Education,+94 11 2 785617, ,,[u' '],['http://www.moe.gov.lk'],+94 11 2 785141 - +94 11 2 785150,  ,,,,"""Isurupaya""Battaramulla",Secretary,To Be Appointed,Tel : +94 11 2 784870,
Ministries,State Ministry of Finance,+94 11 2 449823,W K Senarath  Dayawansa ,info@mo.treasury.gov.lk,[u' +94 11 2484893'],['http://www.treasury.gov.lk'],+94 11 2 484500 / +94 11 2 484600 / +94 11 2 484700, Statisical Officer(ICT) ,,Colombo 01,,The Secretariat,Secretary,To Be Appointed,Tel :- +94 11 2 484827,
Departments,Department of Agriculture,+94-812388333, Dr. W.M.W. Weerakoon ,dgagriculture@gmail.com,[u' 0812-388157'],['http://www.doa.gov.lk'],+94-812-388 331:+94-812-388 332: +94-812-388 334, Director General of Agriculture ,,Peradeniya,Sri Lanka.,Old Galaha road,Director General of Agriculture, Dr. W.M.W. Weerakoon,+94-812-386484,"Crop Clinic  : ස්ථීර බෝග සායන කටයුතු සඳහා තාක්ෂණික සහාය සහ සම්බන්ධීකරණය  : HORDI: Agriculture library services : Fumigation : Obtaining Technical Services on Plant Protection Activities : Agricultural Education for School Drop-outs : Agricultural Education for Public Officers : Development of Medium and Large Scale Lands As Commercial Farms : Soil Surveys : Obtaining Agro Climate Data : Obtaining Environmental Evaluation Reports : Mapping Using Geographical Information : Implementation of the Soil Conservation Act : Receiving Advice for Soil Conservation : ETC- Women’s Agriculture Extension Service : ICC: National telecasting on success stories of farmers  : ICC- Providing training on AV teaching aids and presentation technology  : ICC-  Radio programmes in Agriculture : ICC-  Sales of Agriculture publications : ICC-  agriculture advisory service  : ICC- Visits to Agriculture Technology Parks in Gannoruwa and Batatha : Extension &Training: Advisory service for establishing commercial farms : Extension &Training: Agriculture extension services in Inter-provincial areas  : ICC-  Duplicating VCD/DVD on agricultural TV programmes broadcasted : Extension &Training: Training on agriculture enterprise development : Extension &Training: Conducting Agriculture Exhibitions : FCRDI-Field Crops: Providing breeder seeds of OFC : FCRDC-Field Crops: Soil Testing Service  : FCRDI-Field crops: Soil Testing Service  : FCRDI-Field Crops: Solving field problems related to field crops  : HORDI-Horticultural crops: Supply of Horticultural Seed & Planting Material  : HORDI-Horticultural crops:Advisory Services to solve farmers problem : HORDI-Horticultural crops: Analytical services: ELISA  : HORDI-Horticultural crops: Analytical services: Soil & Organic manure analysis : HORDI-Horticultural crops:Training Programmes : RRDI-Rice: Dissemination of proven technologies and newly improved rice varieties : RRDI-Rice: Dissemination of proven technologies on Plant Protection, Agronomy, etc. : RRDI-Rice: Distribution of seed paddy : RRDI-Rice: Providing  field visits and diagnosis of problems of rice cultivation  : Providing seed paddy samples : RRDI-Rice: Soil testing : SCPPC-Pesticides: Awareness/ Training on Safe & effective use/handling of Pesticides  : SCPPC-Pesticides: Certification for Pesticides dealers  : SCPPC-Pesticides: Registration of Pesticides : SCPPC-Plant Genetic Resources: Providing information on plant genetic resources : SCPPC-Plant Protection: Advisory service and treatments for household pest control  : SCPPC-Plant Protection: Introduction of the Bio control agents to control some weeds : SCPPC-Plant Quarantine: Issuing phytosanitary certificate on agricultural commodities  : SCPPC-Seed Certification: Conducting inquiries on complaints against seed or planting materials : SCPPC-Seed Certification: Conducting post control verification trials against complaints : SCPPC-Seed Certification: Registration of fruit plant nurseries  : SCPPC-Seed Certification: Registration of seed and planting material handlers : SCPPC-Seed Certification: Registration of seed production crops and certification of produced seeds  : SCPPC-Seed Certification: Seed testing for locally produced or important seeds  : SCPPC-Seed Certification: Training and awareness programme on quality seed and planting material  : SCPPC:  Issuance of import permits to import plant, planting material and plant products"
Ministries,State Ministry of Defence,+94 11 2 446300, ,webinfo@defence.lk: secretary@defence.lk,[u' '],['http://www.defence.lk'],+94 11 2 430860 to +94 11 2 430879,  ,,Baladaksha MawathaColombo -03,,15/5,Secretary,Mr. A. P. G. Kithsiri,+94 11 2438879,
Ministries,State Ministry of Children’s Affairs,+94 11 2 187141, ,,[u' '],['http://'],+94 11 2 187141,  ,,Sethsiripaya II Stage,Battaramulla,6th Floor,Secretary,To Be Appointed,"
					",
Ministries,Ministry of Women and Children’s Affairs,+94 11 2 187249,Mr.J.P.S.Jayasinghe , secycdwe@sltnet.lk,[u' +94 11 2187275'],['http://www.childwomenmin.gov.lk'],+94 11 2 186057, Director  (Planning) ,Battaramulla,2nd Stage,"""Sethsiripaya""",3rd & 5th Floors,Secretary,Mrs. Chandrani Senarathne,Tel :- +94 11 2 187246,
Ministries,"Ministry of Upcountry New Villages, Estate Infrastructure& Community Development",, ,smpid@sltnet.lk,[u' '],['http://www.mpid.gov.lk'],+94 11 2 541369,  ,,St Michael’s Road,Colombo -03,No. 45,Secretary,Mrs. R. Nadarasapille,+94 11 2 441849,"Provide  House to the  Plantation Community : Supporting in Obtaining the Land Titles for the Plantation Community : Infrastructure Development in the Lagging Regions of Plantation Areas : Social Development of the Plantation Community : Livelihood Development, Self Employment and Income Generation"
Ministries,Ministry of Urban Development and Water Supply,+94 11 2 177242, ,secretary@watermin.gov.lk: info@watermin.gov.lk,[u' '],['http://www.mwsd.gov.lk'],+94 11 2 177240 / +94 11 2 177241,  , Pelawatta,"""Lakdiya Medura""",New Parliament Road ,No.35,Secretary,To Be Appointed,Tel : +94 11 2 177212,
Ministries,"Ministry of Technology, Technical Education and Employment",+94 11 2 374765, ,mstsasad@sltnet.lk,[u' '],['http://www.motr.gov.lk'],+94 11 2 374700 / +94 11 2 372281 / +94 11 2 372274,  ,,Galle Road,Colombo-03,No.408,Secretary,Mrs. R. Wijialudchumi,Tel : +94 11 2 372277,
Ministries,Ministry of Telecommunication and Digital Infrastructure,+9411 2 301710, ,info@mtdi.gov.lk,[u' '],['http://www.mtdi.gov.lk'],+94 11 2 577777,  ,,5th Lane,Colombo 03.,79/1,Secretary,Mr. Wasantha Deshapriya,+94 11 2 301713,
Ministries,Ministry of Transport & Civil Aviation,0112 865 093 / 0112 187 226,Mr. Channa Dias ,mintransport@sltnet.lk/secmintransport@gmail.com,[u' 0112 187 200 / 0112 187 201'],['http://www.transport.gov.lk'],0112 187 200 / 0112 187 201, Development Assistant  , Battaramulla., Sethsiripaya, Stage II,7th Floor,Secretary,Mr. G.S. Vithanage,0112 187 233,Sri Lanka Railways : Sri Lanka Transport Board : National Transport Commission : Department of Motor Traffic : Civil Aviation Authority : National Transport Medical Institute : National Council for Road Safety : Airport & Aviation Services (Sri Lanka) Limited : Lakdiva Engineering Company (Pvt) Ltd
Ministries,"Ministry of Rehabilitation, Resettlement & Hindu Religious Affairs",+94 11 2395517, ,secretary@resettlementmin.gov.lk; resettlementmin@yahoo.com,[u' '],['http://www.resettlementmin.gov.lk'],+94 11 2395521: +94 11 2436197,  ,, Galle Road,Colombo-03.,No. 146,Secretary,Mr. V. Sivagnanasothi,Tel : +94 11 2 395524,
Ministries,Ministry of Sports,+94 11 2 689161,Ms. Kamani Ajantha Sooriyarachchi ,secretary@sportsmin.gov.lk,[u' +94 11 3 137495'],['http://www.sportsmin.gov.lk'],+94 11 2 685390: +94 11 2 697934, Director ( Planning ) ,,Philip Gunawardana Road,Colombo- 07,No 9,Secretary,Dr. D. M. R. B. Dissanayake,"T : +94 11 2 684204 , 2 671404",
Ministries,Ministry of Public Administration and Management,+94 11 2695279, ,sas-it@pubad.gov.lk,[u' '],['http://www.pubad.gov.lk'],+94 11 2166000: +94 11 2696211: +94 11 2696212: +94 11 2696213,  ,,,,Independence SquareColombo -07,Secretary,Mr. J. Dadallage,T : +94 11 2 695738,
Ministries,Ministry of Power and Renewable Energy,+94 11 2 574743,Mr. B. S. Kekulawala ,elecomplaints@sltnet.lk,[u' +94 11 2 564746'],['http://www.powermin.gov.lk'],+94 11 2 574922, Assistant Secretary ,,Ananda Coomarswamy Mawatha,Colombo 07.,No:72,Secretary,Dr. B. M. S. Batagoda,Tel : +94 11 2 574918,
Ministries,Ministry of Plantation Industries,, ,secypi@sltnet.lk,[u' '],['http://www.plantationindustries.gov.lk'],+94 11 2 186053,  ,Battaramulla, 10th & 11th Floors,Sethsiripaya Stage II,8th,Secretary,Mr. Anura Jayawickrema,Tel : 0094 112 186 200,
Ministries,Ministry of Ports & Maritime Affairs,, ,,[u' '],['http://'],+94 11 2 439352,  ,,Chaithya Road,Colombo 01.,No 19,Secretary,Mr. L P Jayampathy,Tel : +94 11 2 320252,
Ministries,"Ministry of Post, Postal Services & Muslim Religious Affairs",+94 11 2323465: +94 11 2541531,Ms.K.P.L.Roshini ,secretary.mps@slpost.lk: min.info@slpost.lk,[u' +94 11 2 422316'],['http://www.minpost.gov.lk'],+94 11 2422591: +94 11 2422592: +94 11 2422593, Assistant Secretary (Development) ,Colombo-10,Posts Head Office Building,D R Wijewardena Mawatha,6th & 7th Floors,Secretary,Mr. D.G.M.V Hapuarachchi,Tel : +94 11 2 445333 / 2 445111,
Ministries,Ministry of Petroleum & Petroleum Gas,+94 11 2 564362 / +94 11 2 370032: +94 11 2 370033, ,,[u' '],['http://'],+94 11 2 370032 / +94 11 2 370033 / +94 11 2 564355 / +94 11 2 354363,  ,,,,No.80 Sir Earnest de Silva mawathaColombo 07,Secretary,Mrs. W. S. Karunaratne,Telephone : +94 11 2 370130,
Ministries,Ministry of National Policy and Economic Affairs,+94 11 247 3643 / +94 11 2339732, ,info@mnpea.gov.lk,[u' '],['http://www.mnpea.gov.lk'],+94 11 301 0777  /  +94 11 232 2867,  ,Colombo 01,1st Floor,Bristol Street,"""Miloda""(Old Times Building)",Secretary,Mr. M I M Rafeek,"
					",
Ministries,Ministry of Law and Order and Prisons Reform,+94-112-186109, ,info@lawandorder.lk,[u' '],['http://www.lawandorder.lk'],+94-112-186101 - 4 ,  ,,‘Sethsiripaya’ (Stage II),Battaramulla,13th Floor,Secretary,Mr. Jagath Wijeweera,"
					",
